id,brand,name,species,category,variants,image_url
royal-hair-skin-gato,Royal Canin,Hair & Skin,cat,dry,400g:$10.63|2kg:$44.55,
royal-digestive-care-gato,Royal Canin,Digestive Care,cat,dry,2kg:$44.55,
royal-light-weight-care-gato,Royal Canin,Light Weight Care,cat,dry,1.5kg:$31.16,
royal-kitten-instinctive-in-jelly-x-12-gato,Royal Canin,Kitten Instinctive in Jelly (12),cat,wet,85g x12:$52.50,
royal-kitten-sterilised-x-12-gato,Royal Canin,Kitten Sterilised (12),cat,wet,85g x12:$52.50,
royal-sterilised-x-12-gato,Royal Canin,Sterilised (12),cat,wet,85g x12:$52.50,
royal-instinctive-x-12-gato,Royal Canin,Instinctive (12),cat,wet,85g x12:$52.50,
royal-instinctive-7-x-12-gato,Royal Canin,Instinctive 7+ (12),cat,wet,85g x12:$52.50,
royal-intense-beauty-x-12-gato,Royal Canin,Intense Beauty (12),cat,wet,85g x12:$52.50,
royal-anallergenic-canine-perro,Royal Canin,Anallergenic Canine,dog,veterinary,3kg:$75.80,
royal-hypoallergenic-small-dog-perro,Royal Canin,Hypoallergenic Small Dog,dog,veterinary,1kg:$31.16|3.5kg:$80.27,
royal-hypoallergenic-canine-perro,Royal Canin,Hypoallergenic Canine,dog,veterinary,2kg:$44.55|7kg:$124.91,
royal-diabetic-canine-perro,Royal Canin,Diabetic Canine,dog,veterinary,1.5kg:$35.63,
royal-satiety-weight-management-perro,Royal Canin,Satiety Weight Management,dog,veterinary,1.5kg:$35.63|6kg:$111.52,
royal-gastrointestinal-puppy-canine-perro,Royal Canin,Gastrointestinal Puppy Canine,dog,veterinary,1kg:$31.16,
royal-gastrointestinal-low-fat-canine-perro,Royal Canin,Gastrointestinal Low Fat Canine,dog,veterinary,1.5kg:$47.74|6kg:$126.00,
royal-gastrointestinal-canine-perro,Royal Canin,Gastrointestinal Canine,dog,veterinary,2kg:$44.55|7.5kg:$124.91,
royal-hepatic-canine-perro,Royal Canin,Hepatic Canine,dog,veterinary,1.5kg:$40.09|7kg:$136.96,
royal-early-renal-canine-perro,Royal Canin,Early Renal Canine,dog,veterinary,2kg:$44.55|7kg:$139.04,
royal-renal-small-dog-perro,Royal Canin,Renal Small Dog,dog,veterinary,500g:$17.30|1.5kg:$44.55,
royal-renal-canine-perro,Royal Canin,Renal Canine,dog,veterinary,2kg:$44.55|7kg:$120.45,
royal-cardiac-canine-perro,Royal Canin,Cardiac Canine,dog,veterinary,2kg:$44.55,
royal-calm-canine-perro,Royal Canin,Calm Canine,dog,veterinary,4kg:$78.17,
royal-urinary-s-o-small-dog-perro,Royal Canin,Urinary S/O Small Dog,dog,veterinary,1.5kg:$44.55|4kg:$75.80,
royal-urinary-canine-perro,Royal Canin,Urinary Canine,dog,veterinary,2kg:$44.55|7.5kg:$120.45,
royal-urinary-s-o-ageing-7-perro,Royal Canin,Urinary S/O Ageing 7+,dog,veterinary,1.5kg:$40.09,
royal-hypoallergenic-feline-gato,Royal Canin,Hypoallergenic Feline,cat,veterinary,2.5kg:$62.41,
royal-diabetic-so-index-feline-gato,Royal Canin,Diabetic SO Index Feline,cat,veterinary,400g:$14.20|1.5kg:$44.55,
royal-satiety-weight-management-feline-gato,Royal Canin,Satiety Weight Management Feline,cat,veterinary,400g:$14.20|1.5kg:$44.55,
royal-gastrointestinal-kitten-gato,Royal Canin,Gastrointestinal Kitten,cat,veterinary,400g:$17.30|2kg:$65.13,
royal-gastrointestinal-fibre-response-gato,Royal Canin,Gastrointestinal Fibre Response,cat,veterinary,400g:$17.30|2kg:$65.13,
royal-gastrointestinal-so-index-feline-gato,Royal Canin,Gastrointestinal SO Index Feline,cat,veterinary,400g:$14.20|2kg:$53.48,
royal-hepatic-so-index-feline-gato,Royal Canin,Hepatic SO Index Feline,cat,veterinary,2kg:$53.48,
royal-early-renal-feline-gato,Royal Canin,Early Renal Feline,cat,veterinary,400g:$17.30|1.5kg:$53.48,
royal-renal-feline-gato,Royal Canin,Renal Feline,cat,veterinary,2kg:$53.48,
royal-urinary-feline-so-gato,Royal Canin,Urinary Feline SO,cat,veterinary,1.5kg:$44.55|7kg:$142.77,
royal-urinary-s-o-moderate-calorie-gato,Royal Canin,Urinary S/O Moderate Calorie,cat,veterinary,1.5kg:$44.55,
royal-calm-feline-gato,Royal Canin,Calm Feline,cat,veterinary,2kg:$60.78|4kg:$78.17,
royal-recovery-feline-canine-gato,Royal Canin,Recovery Feline/Canine,cat,wet,195g:$8.84,
royal-renal-feline-with-tuna-x-12-gato,Royal Canin,Renal Feline with Tuna (12),cat,wet,85g x12:$52.50,
royal-veterinary-diet-feline-urinary-so-feline-x-12-gato,Royal Canin,Vet Diet Feline Urinary SO (12),cat,wet,100g x12:$52.50,
royal-gastrointestinal-feline-x-12-gato,Royal Canin,Gastrointestinal Feline (12),cat,wet,100g x12:$52.50,
royal-renal-canine-wet-perro,Royal Canin,Renal Canine (lata),dog,wet,410g:$9.73,
royal-urinary-canine-wet-perro,Royal Canin,Urinary Canine (lata),dog,wet,410g:$9.73,
royal-gastrointestinal-canine-wet-perro,Royal Canin,Gastrointestinal Canine (lata),dog,wet,400g:$9.73,
royal-hepatic-canine-wet-perro,Royal Canin,Hepatic Canine (lata),dog,wet,420g:$9.73,
royal-hypoallergenic-canine-wet-perro,Royal Canin,Hypoallergenic Canine (lata),dog,wet,400g:$9.73,
